Index,Hogwarts House,First Name,Last Name,Birthday,Best Hand,Arithmancy,Astronomy,Herbology,Defense Against the Dark Arts,Divination,Muggle Studies,Ancient Runes,History of Magic,Transfiguration,Potions,Care of Magical Creatures,Charms,Flying
0,Gryffindor,First0,Last0,2004-09-19,Left,57587.168001158454,-106.43226535055635,-1.0674335292052035,1.7060424555520903,8.419151418866157,306.5061129447113,605.0285765132244,6.257192304853579,1283.8081442451662,-4.60330236717735,0.5232102721925367,-295.3318118159341,125.84090492640911
1,Ravenclaw,First1,Last1,2003-03-07,Left,23608.709145207627,-627.8314826062854,11.699144526987741,-12.492889392597544,-6.483125329241622,-724.0056329495258,678.044581909357,-5.4542232325322715,1251.2424750648565,0.9413793104470418,1.079582502791884,-299.3339221526402,-142.83514144653697
2,Slytherin,First2,Last2,2005-07-10,Left,75238.42323325676,-334.8509699174672,5.42880399130992,-6.255498127037196,7.527322863998084,-828.4767406003493,313.1926974779175,5.5762219359239324,969.8717381358064,2.7577501729917877,0.31673841742734066,-266.01302481957276,-126.049309803332
3,Ravenclaw,First3,Last3,2000-01-08,Left,44406.58179170918,105.84286150033654,-12.605355885883736,-12.266520911422921,0.694917867452407,-47.079514705496535,589.326731594301,-5.721138673043291,1265.4072149957033,11.538662980983876,-1.636045102961011,-276.7074680776783,91.10956981334354
4,Ravenclaw,First4,Last4,2001-07-07,Left,21929.47366979967,-50.1357381661993,12.862304545285397,-12.141673648252116,6.188540483630021,140.51882080249902,935.6589668101884,0.6911512568321836,946.356840450452,4.283969758311532,0.24999800502720548,-289.38573645340034,-51.96723690230884
5,Ravenclaw,First5,Last5,2004-12-31,Right,78143.11503503285,762.1704109242594,2.7413282870296634,0.2374058895920168,-3.498814795855356,-221.74789628144856,814.1049215732188,-3.5120890643746216,844.5222105622794,13.989434665863548,1.095454400346695,-226.78886038767388,-11.98516197247369
6,Slytherin,First6,Last6,2002-04-26,Right,17381.123426926788,592.4329568858757,13.801549651765967,-5.488027847094193,-5.415076377557524,522.196456845367,326.58442898458986,2.562112473954052,843.8006352195746,-3.2698732467165588,1.6979016758854368,-261.66577278470857,140.44847212274328
7,Hufflepuff,First7,Last7,2005-11-12,Left,41682.03914938359,-265.68294793204234,2.8983381357906275,-10.210254680135545,-8.230383749721353,506.58336274914086,814.1144557972867,6.806983559332082,1086.0220894002546,2.2805873753897785,-0.8911074992893266,-201.23113831309502,-18.73772471626677
8,Gryffindor,First8,Last8,1999-11-01,Right,42766.38536310379,509.9892207067003,-7.961011515605478,-5.0124120296788135,2.7139099559055815,-934.3607371230487,803.5970412184223,-3.4108996269555547,847.7786605636669,11.41259901881228,-1.4575869833969262,-224.2588056968438,-98.94984416893378
9,Hufflepuff,First9,Last9,2000-07-26,Left,21625.007633874506,-79.52932752723768,6.007324534792897,6.701116102077602,9.172707205564446,-642.8409908329786,676.1248582422947,4.523355298603873,976.7743429214721,-0.32798581226076173,0.27245765218447415,-221.32531785315223,93.12090056875255
10,Slytherin,First10,Last10,1999-08-09,Left,62118.58124323833,295.0599803489597,-9.937507399552649,-13.046182294476203,2.320518995184692,-271.07350671014774,908.2391645929283,3.7939218968745596,1090.657996234082,-0.5401426520688499,0.4674992663766506,-240.24806641542582,192.61015454111418
11,Gryffindor,First11,Last11,2004-11-13,Left,53431.11290171681,524.2200718030497,-9.783724960937356,10.133772243518585,-0.7167010606612969,-476.1693403874348,432.7522984981988,7.649770462918472,1206.8967850702484,2.597106330306776,-0.7885687530391889,-257.74885192560305,227.52651519003763
12,Gryffindor,First12,Last12,2005-05-22,Right,79567.27590866455,245.51350701836532,3.49221134833493,2.196845308412307,-3.3108602846698343,878.4249474607213,498.380224118834,-2.325823820719217,1039.9510258346786,5.616044108333597,0.6961530034667525,-227.32076955341523,209.7370101618115
13,Ravenclaw,First13,Last13,2001-09-23,Left,40443.10806138515,-505.1899635401128,6.213098673435571,-1.609068387797187,9.021557221257005,-365.8076179620298,519.6204705622173,1.5218666172472055,1261.104575743037,7.573824168080023,0.8371303591142949,-228.8029910925525,196.38882559374673
14,Hufflepuff,First14,Last14,2001-01-23,Left,16618.590540324287,765.5320511486111,2.3238699147960347,6.529037362985967,-8.570224798004922,360.8715150479909,576.8716582968725,3.2278837252329886,1091.9785699144,-4.241335739252666,0.21584231417865807,-202.46898560166096,96.14558972351
15,Slytherin,First15,Last15,2003-07-07,Left,27293.883496626546,-716.7222418732546,-13.967404833874527,6.237144727074092,2.2318225656017177,-115.50785301916198,642.8128393254366,-0.7995886953680209,1216.0691378033919,7.248215984622934,-0.8935110741014043,-243.62631305750276,145.78457926597264
